-,-,-

-0.680572,0.679375,9.669278
-0.678178,0.672791,9.665687
-0.685959,0.679375,9.672271
-0.684762,0.686558,9.649525
-0.683565,0.675185,9.678855
-0.690149,0.687156,9.656708
-0.664411,0.681171,9.641145
-0.673988,0.682966,9.659701
-0.684762,0.683565,9.657905
-0.692543,0.685361,9.663292
-0.675784,0.684164,9.664490
-0.693741,0.672192,9.675862
-0.682966,0.676382,9.672271
-0.678178,0.696135,9.666884
-0.676382,0.681769,9.668680
-0.675185,0.704515,9.661497
-0.666805,0.678776,9.647730
-0.714691,0.716486,9.563930
-0.642264,0.732648,9.569317
-0.314248,0.514170,8.088458
-0.665009,0.253194,9.727938
-1.048692,4.795732,10.037398
2.374522,11.183058,5.633728
2.249421,12.262876,4.392297
5.371555,7.610202,2.110553
2.970696,2.248822,4.265400
6.927834,7.397710,5.090826
5.871360,6.580065,0.552478
5.594821,6.535172,2.695953
8.175849,6.440599,2.191359
3.721900,7.310918,-3.580637
4.605387,10.243904,-4.190579
4.790345,5.486480,-0.236434
5.235081,14.622434,-0.663214
6.154483,8.102225,-0.896057
5.873156,7.331269,-0.142459
6.285569,7.858608,-0.847573
6.408276,7.756851,-1.030136
6.904489,7.598829,-0.806272
6.591438,7.160078,3.471698
5.411060,4.422225,5.438595
3.480676,1.837007,5.515810
5.319479,3.026961,7.603019
5.425426,4.070865,6.465739
5.276383,4.409056,7.464151
5.304515,4.871152,6.948783
4.957944,3.861965,7.074483
5.308705,4.684997,6.818894
5.101600,4.428211,7.167261
5.123149,4.433598,7.152895
5.064489,4.343214,6.922446
4.924424,4.488068,7.163071
4.404268,4.121744,7.626363
4.818477,5.414652,6.853611
4.602394,4.868159,6.689603
4.711932,5.736682,6.248458
4.539544,5.228497,6.809317
4.625738,5.259623,6.854210
4.611373,5.226103,6.748263
4.744854,5.361978,6.691997
4.504229,5.091425,6.864984
4.682004,5.455953,6.551932
4.655667,5.224307,6.715940
4.627534,5.184802,6.805127
4.640703,5.260221,6.736292
4.610774,5.211139,6.783578
4.658061,5.224906,6.732700
4.641900,5.224906,6.800338
4.610176,5.136916,6.809916
4.622147,5.208744,6.815303
4.608978,5.132726,6.850020
4.603591,5.188991,6.861392
4.577853,5.134522,6.872765
4.555107,5.117163,6.926636
4.586233,5.113572,6.856604
4.561692,5.048328,6.909278
4.582043,5.108783,6.927235
4.571867,5.101600,6.903891
4.589226,5.156070,6.890722
4.517996,5.004034,6.987690
4.547326,5.087235,6.929629
4.510215,4.981288,6.999063
4.579649,5.084841,6.982902
4.498842,5.029174,7.008042
4.516200,5.024385,6.963748
4.521587,5.038152,6.995472
4.512010,5.048926,6.951178
4.480885,4.983682,7.055329
4.499440,5.060299,6.987690
4.471308,5.017202,7.004450
4.565283,5.077059,6.939805
4.437189,4.941184,7.087053
4.508419,5.097410,7.002056
4.395888,4.837033,7.261835
4.459935,4.892101,7.059519
4.386311,4.860377,7.136135
4.452153,4.956747,6.801536
4.343812,4.893897,7.391126
4.513806,5.008224,7.025400
4.508419,5.091425,6.997268
4.455146,5.026779,7.008640
4.438386,5.032765,7.051139
4.480885,5.107586,6.972726
4.463526,5.036356,7.003253
